1   PNA-Na+ 2   19  36
2   PNA-Na+ 1   4   6
3   PNA-Na+ 3   7   14
4   PNA-Na+ 5   10  12
5   PNA-Na+ 5   6   11
6   PNA-Na+ 1   3   6
7   PNA-Na+ 1   4   6
8   PNA-Na+ 2   5   8
9   PNA-Na+ 1   4   6
10  PNA-Na+ 1   9   10
1   PNA-Cl- 1   4   11
2   PNA-Cl- 0   3   6
3   PNA-Cl- 0   2   4
4   PNA-Cl- 0   1   3
5   PNA-Cl- 0   2   3
6   PNA-Cl- 0   2   5
7   PNA-Cl- 0   2   6
8   PNA-Cl- 0   2   5
9   PNA-Cl- 0   4   9
10  PNA-Cl- 1   4   9
11  DNA-Na+ 9   27  34
12  DNA-Na+ 9   25  31
13  DNA-Na+ 11  19  31
14  DNA-Na+ 11  24  31
15  DNA-Na+ 9   19  28
16  DNA-Na+ 8   16  27
17  DNA-Na+ 8   15  23
18  DNA-Na+ 8   16  23
19  DNA-Na+ 8   17  35
20  DNA-Na+ 6   35  53
11  DNA-Cl- 2   6   16
12  DNA-Cl- 0   0   1
13  DNA-Cl- 0   0   2
14  DNA-Cl- 0   0   1
15  DNA-Cl- 0   0   1
16  DNA-Cl- 0   1   2
17  DNA-Cl- 0   0   2
18  DNA-Cl- 0   0   2
19  DNA-Cl- 0   1   4
20  DNA-Cl- 1   6   15
